14.3375,13.6732,1,0,1,0
8.39945,9.46496,0,2,0,4
17.9921,10.0029,0,1,2,4
8.86551,10.2947,1,2,2,1
18.5132,9.3402,1,1,0,1
10.5705,8.03838,1,2,2,1
13.7473,13.6674,0,1,2,4
18.9085,10.5174,1,2,2,1
9.55983,10.4255,0,2,2,1
17.9338,9.9666,1,0,2,4
10.9116,11.4136,1,2,2,1
8.89069,10.3197,1,1,2,1
13.8527,13.8929,0,0,0,2
13.4729,14.5827,0,1,0,4
16.898,11.1598,1,2,2,1
13.9629,13.9866,1,0,1,0
16.7333,11.0035,1,2,2,4
10.5664,9.50982,1,2,0,4
10.3364,10.2641,1,0,1,0
17.5691,9.97801,0,2,1,4
7.58398,12.3966,0,2,2,1
10.9711,11.2333,0,1,2,1
9.925,10.2994,1,0,1,0
13.7787,15.0513,0,2,1,4
16.5625,11.7607,0,1,1,4
10.0133,9.97349,0,2,0,1
9.00771,10.8387,1,3,2,4
15.7209,11.269,1,2,0,3
9.93191,9.8278,1,0,1,0
18.3423,9.49025,0,0,1,4
13.8851,13.9342,1,0,1,0
13.0885,14.9324,1,0,1,0
10.7815,10.4499,1,2,2,1
8.66773,11.3531,1,1,0,4
15.7784,10.5516,1,3,2,4
18.9103,10.2961,0,2,2,1
17.1514,10.7679,1,2,2,4
18.4454,6.90904,0,3,1,4
10.4135,8.79919,1,3,2,4
12.1789,7.75268,1,2,0,1
18.5776,10.4778,1,1,0,4
10.804,10.8089,0,3,0,4
13.9298,14.1014,1,0,1,0
17.7722,10.2241,1,1,0,1
18.6573,8.6,1,2,2,4
16.677,11.0837,0,2,0,1
8.65766,8.50281,1,2,2,1
10.4098,10.1607,1,0,1,0
10.1414,10.1472,1,1,2,1
9.13168,9.00171,0,1,0,1
18.8994,10.5283,1,2,0,3
13.3251,13.8586,0,0,0,2
13.9244,14,1,0,1,0
13.39,13.7043,1,0,1,0
10.7072,10.3261,1,0,1,0
9.63266,9.58102,1,0,1,0
9.48708,9.61206,0,0,0,4
14.2179,14.3195,0,0,0,2
18.5047,8.6952,0,1,0,1
18.3419,10.2668,1,3,1,4
10.1116,8.77433,1,2,0,4
